relevance_score,quality_flag,title,authors,publication_year,doi,url,source_name,publisher,venue,document_type,open_access,matched_keywords,manual_review_required
80.76666666666667,core literature,High sensitivity flexible organic X-ray detectors with minor TIPS-pentacene/insulator polymer blend active layer,Zhao Hao; Yi Li; Yuanjian Deng; Zehua Chen; Jie Liang; Xiuzhen Lu; Jianhua Zhang,2024,10.1016/j.orgel.2024.107088,https://doi.org/10.1016/j.orgel.2024.107088,crossref,Elsevier BV,Organic Electronics,journal-article,True,organic photodiode active layer; polymer films,False
80.76666666666667,core literature,Recent advances in photodiode-type organic photodetectors: From polymer design to applications,Min Hun Jee; Myeong In Kim; Min Gyu Kang; Sumin Lee; In Hwan Jung; Han Young Woo,2026,10.1016/j.progpolymsci.2026.102122,https://doi.org/10.1016/j.progpolymsci.2026.102122,crossref,Elsevier BV,Progress in Polymer Science,journal-article,True,organic photodiode active layer; polymer films,False
80.76666666666667,core literature,Metal ion-catalyzed interfacial polymerization of functionalized covalent organic framework films for efficient separation,Yanqing Qu; Yuxin Zha; Hongge Jia; Yu Zang; Yang Liu; Tong Gu; Xiaoyu Du,2023,10.1016/j.eurpolymj.2023.111939,https://doi.org/10.1016/j.eurpolymj.2023.111939,crossref,Elsevier BV,European Polymer Journal,journal-article,True,crystallization regulator organic semiconductor; organic photodiode active layer; polymer films,False
80.76666666666667,core literature,Effect of controlled solvent evaporation on the electroactive phase content of P (VDF-HFP) films,Siqi Zhang; Qi Lian; Xiaojia Zhao; Guirong Peng; Qi Wang,2024,10.1016/j.polymer.2024.126666,https://doi.org/10.1016/j.polymer.2024.126666,crossref,Elsevier BV,Polymer,journal-article,True,polymer films; solvent evaporation morphology,False
80.76666666666667,core literature,Unexpected Solvent Effect Leading to Interface Segregation of Single-Chain Nanoparticles in All-Polymer Nanocomposite Films upon Solvent Evaporation,Zhao Qian; You-Liang Zhu; Zhong-Yuan Lu; Hu-Jun Qian,2023,10.1021/acs.macromol.2c02061,https://doi.org/10.1021/acs.macromol.2c02061,crossref,American Chemical Society (ACS),Macromolecules,journal-article,True,polymer films; solvent evaporation morphology,False
80.76666666666667,core literature,Polymer crystallization and optical birefringence modulated by solvent evaporation in sessile droplets,Tiantian Song; Weichao Shi,2024,10.1016/j.polymer.2024.127287,https://doi.org/10.1016/j.polymer.2024.127287,crossref,Elsevier BV,Polymer,journal-article,True,polymer films; solvent evaporation morphology,False
80.76666666666667,core literature,Characterization of nanoscale morphology and mechanical properties of conjugated polymer thin films dynamically exposed to a secondary solvent,Krystal L. House; Kent H. Christian; Thomas J. Emge; Haydee Pacheco; Richard A. Haber; Deirdre M. O'Carroll,2024,10.1016/j.polymer.2023.126625,https://doi.org/10.1016/j.polymer.2023.126625,crossref,Elsevier BV,Polymer,journal-article,True,polymer films; solvent evaporation morphology,False
80.76666666666667,core literature,Macroscopic order in block copolymer gyroid films by solvent evaporation annealing,René Iseli; Doha Abdelrahman; Cédric Kilchoer; S. Narjes Abdollahi; Thomas A. Kainz; Rushna Quddus; Yibei Gu; Ulrich Wiesner; Bodo D. Wilts; Viola V. Vogler-Neuling; Ullrich Steiner; Ilja Gunkel,2025,10.1016/j.polymer.2025.128676,https://doi.org/10.1016/j.polymer.2025.128676,crossref,Elsevier BV,Polymer,journal-article,True,polymer films; solvent evaporation morphology,False
80.76666666666667,core literature,High-Performance Asymmetric Porous Anion Exchange Membrane with Controllable Morphology via Solvent Evaporation and Water Etching,Ying Zhu; Xuan Yang; Jing Zhang; Yingying Xu; Jingyi Wang; Feixiang Gong; Lei Wang,2024,10.1021/acsapm.4c00354,https://doi.org/10.1021/acsapm.4c00354,crossref,American Chemical Society (ACS),ACS Applied Polymer Materials,journal-article,True,polymer films; solvent evaporation morphology,False
80.76666666666667,core literature,Coarse-grained molecular dynamics simulation study for topological constraint effect on lamellar spacing in ABA tri-block copolymers,Katsumi Hagita; Takahiro Murashima,2026,10.1016/j.polymer.2026.130143,https://doi.org/10.1016/j.polymer.2026.130143,crossref,Elsevier BV,Polymer,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
80.76666666666667,core literature,Origins of the Mullins effect in elastomer nanocomposites: A coarse-grained molecular dynamics simulation study,Zhihao Ma; Xue Li; Yuejie Qin; Jianxiang Shen,2026,10.1016/j.polymer.2026.130026,https://doi.org/10.1016/j.polymer.2026.130026,crossref,Elsevier BV,Polymer,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
80.76666666666667,core literature,Investigation of dynamic impact responses of layered polymer-graphene nanocomposite films using coarse-grained molecular dynamics simulations,Zhangke Yang; Cho-Chun Chiang; Zhaoxu Meng,2023,10.1016/j.carbon.2022.11.015,https://doi.org/10.1016/j.carbon.2022.11.015,crossref,Elsevier BV,Carbon,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
80.76666666666667,core literature,Topological constraint of ring fillers on the lamellar forming ABA-type tri-block copolymers using coarse-grained molecular dynamics simulations,Katsumi Hagita; Takahiro Murashima,2025,10.1016/j.polymer.2025.128334,https://doi.org/10.1016/j.polymer.2025.128334,crossref,Elsevier BV,Polymer,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
80.76666666666667,core literature,Coarse-grained molecular dynamics model of AB diblock copolymers composed of blocks with different Lennard-Jones parameters forming lamellar structures,Katsumi Hagita; Takahiro Murashima,2024,10.1016/j.polymer.2024.127132,https://doi.org/10.1016/j.polymer.2024.127132,crossref,Elsevier BV,Polymer,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
80.76666666666667,core literature,Manipulating the Interfacial Mechanical Properties of Polymer-Grafted Graphene Reinforced Polymer Nanocomposites via Coarse-Grained Molecular Dynamics Simulation,Jianzheng Cui; Fanlin Zeng; Dahai Wei; Youshan Wang,2025,10.1021/acs.jpcb.4c07630,https://doi.org/10.1021/acs.jpcb.4c07630,crossref,American Chemical Society (ACS),The Journal of Physical Chemistry B,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
80.76666666666667,core literature,Molecular-Scale Wear Process of Swollen Polymer Brushes at the Sliding Interface: Coarse-Grained Molecular Dynamics Simulation with Explicit Solvent,Yusuke Ootani; Arisa Chiba; Yukihi Hara; Shuichi Uehara; Shogo Fukushima; Nobuki Ozawa; Momoji Kubo,2026,10.1021/acs.macromol.5c03314,https://doi.org/10.1021/acs.macromol.5c03314,crossref,American Chemical Society (ACS),Macromolecules,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
80.76666666666667,core literature,Molecular-level investigations in Polyetherimide during uniaxial tensile tests: A coarse-grained molecular dynamics study,Zong-Yun Tsai; Wei-Che Chang; Hui-Yu Yu; Chin-Wen Chen; Chuin-Shan Chen,2026,10.1016/j.polymer.2025.129386,https://doi.org/10.1016/j.polymer.2025.129386,crossref,Elsevier BV,Polymer,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
80.76666666666667,core literature,Coarse-grained molecular dynamics simulation of oxidative aging of polymers -effect of free radical diffusivity -,Takato Ishida; Yuya Doi; Takashi Uneyama; Yuichi Masubuchi,2024,10.1038/s41428-024-00942-5,https://doi.org/10.1038/s41428-024-00942-5,crossref,Springer Science and Business Media LLC,Polymer Journal,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
80.76666666666667,core literature,Biodegradation behavior of poly (glycolic acid) (PGA) and poly (butylene adipate-co-terephthalate) (PBAT) blend films in simulation marine environment,Ye Fu; Liang Zhu; Bo Liu; Xi Zhang; Yunxuan Weng,2024,10.1016/j.polymer.2024.127295,https://doi.org/10.1016/j.polymer.2024.127295,crossref,Elsevier BV,Polymer,journal-article,True,Monte Carlo simulation polymer blend; polymer films,False
80.76666666666667,core literature,"Rapid training of neural networks as accelerated, differentiable surrogates of kinetic Monte Carlo polymerization models",Nicholas Ballard,2025,10.1016/j.polymer.2025.129128,https://doi.org/10.1016/j.polymer.2025.129128,crossref,Elsevier BV,Polymer,journal-article,True,Monte Carlo simulation polymer blend; polymer films,False
80.76666666666667,core literature,A Monte Carlo study on molecular synergy facilitating crystallization in bimodal long alkane mixtures,Patcharaporn Teeranonmongkol; Visit Vao-soongnern,2026,10.1016/j.polymer.2026.130134,https://doi.org/10.1016/j.polymer.2026.130134,crossref,Elsevier BV,Polymer,journal-article,True,Monte Carlo simulation polymer blend; polymer films,False
80.76666666666667,core literature,"Barrier, thermal, and mechanical properties of polyglycolic acid/polyethylene terephthalate (PET) and liquid crystalline polymer/PET blend films",Rishabh Tiwari; Mohamed A. Abdelwahab; Muhammad Rabnawaz,2025,10.1016/j.polymer.2025.128761,https://doi.org/10.1016/j.polymer.2025.128761,crossref,Elsevier BV,Polymer,journal-article,True,Monte Carlo simulation polymer blend; polymer films,False
80.76666666666667,core literature,AFM-IR Spectromicroscopy Unveils Hidden Phase Separation in Polymer–Polymer Blend Films for Photovoltaic Applications,Ishita Jalan; Leif K. E. Ericsson; Ellen Moons; Jan van Stam,2024,10.1021/acsapm.4c01883,https://doi.org/10.1021/acsapm.4c01883,crossref,American Chemical Society (ACS),ACS Applied Polymer Materials,journal-article,True,molecular dynamics organic photovoltaic blend; polymer films,False
80.76666666666667,core literature,Dynamics of Polymer Films on Polymer-Grafted Substrates: A Molecular Dynamics Simulation,Jie Yang; Zhunpeng Wang; Jianhua Huang,2024,10.1021/acs.langmuir.4c03168,https://doi.org/10.1021/acs.langmuir.4c03168,crossref,American Chemical Society (ACS),Langmuir,journal-article,True,molecular dynamics organic photovoltaic blend; polymer films,False
80.76666666666667,core literature,Two glass transitions in substrate-supported polymer ultrathin films: A molecular dynamics simulation,Jin Zhang; Hongzhu Ji; Jie Yang; Jianhua Huang,2024,10.1016/j.polymer.2024.127410,https://doi.org/10.1016/j.polymer.2024.127410,crossref,Elsevier BV,Polymer,journal-article,True,molecular dynamics organic photovoltaic blend; polymer films,False
80.76666666666667,core literature,"Mass and charge transport in polyethylene – Structure, morphology and properties",U.W. Gedde; M. Unge; F. Nilsson; M.S. Hedenqvist,2023,10.1016/j.polymer.2022.125617,https://doi.org/10.1016/j.polymer.2022.125617,crossref,Elsevier BV,Polymer,journal-article,True,charge transport morphology relationship; polymer films,False
80.19999999999999,core literature,Analyzing Redox-Active Polymer Films in Organic Radical Batteries Through Electron Paramagnetic Resonance-Enabled Modifiable Electrochemical Cell Design,Zhang Min Min,2026,10.2139/ssrn.6626949,https://doi.org/10.2139/ssrn.6626949,crossref,Elsevier BV,,posted-content,False,organic photodiode active layer; organic photovoltaic active layer; polymer films,False
78.72666666666667,useful literature,Inkjet printing of composite hole transport layers and bulk heterojunction structure for organic solar cells,Chin-Tai Chen; Hao-Hong Yang,2022,10.1016/j.tsf.2022.139217,https://doi.org/10.1016/j.tsf.2022.139217,crossref,Elsevier BV,Thin Solid Films,journal-article,True,bulk heterojunction; bulk heterojunction morphology; polymer films,False
78.72666666666667,useful literature,Layer-by-Layer Growth Control of Metal–Organic Framework Thin Films Assembled on Polymer Films,Hiroaki Ohara; Shunsuke Yamamoto; Daiki Kuzuhara; Tomoyuki Koganezawa; Hidetoshi Oikawa; Masaya Mitsuishi,2020,10.1021/acsami.0c13016,https://doi.org/10.1021/acsami.0c13016,crossref,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,journal-article,True,organic photodiode active layer; organic photovoltaic active layer; polymer films,False
78.72666666666667,useful literature,Incorporation of a classical visible non-fullerene acceptor into host binary blend enable ternary high-performance semitransparent polymer solar cells,Xiangkun Wang; Xiaohua Zhai; Xin Jing; Caiyun Gao; Yan He; Liangmin Yu; Mingliang Sun,2022,10.1016/j.cej.2021.132048,https://doi.org/10.1016/j.cej.2021.132048,crossref,Elsevier BV,Chemical Engineering Journal,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
78.72666666666667,useful literature,Designing benzothiadiazole based highly efficient non-fullerene acceptor molecules for organic solar cells,Qaba Qusain Afzal; Kinza Jaffar; Muhammad Ans; Javeria Rafique; Javed Iqbal; Rao Aqil Shehzad; Muhammad Shabir Mahr,2022,10.1016/j.polymer.2021.124405,https://doi.org/10.1016/j.polymer.2021.124405,crossref,Elsevier BV,Polymer,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
78.72666666666667,useful literature,Unprecedented Efficiency Increase in a Ternary Polymer Solar Cell Exhibiting Polymer-Mediated Polymorphism of a Non-Fullerene Acceptor,Qingpei Wan; Liwei Ye; Barry C. Thompson,2022,10.1021/acsmaterialslett.2c00823,https://doi.org/10.1021/acsmaterialslett.2c00823,crossref,American Chemical Society (ACS),ACS Materials Letters,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
78.72666666666667,useful literature,WITHDRAWN: Study of charge transfer in D-A conjugated donor and non-fullerene small molecule acceptor for the application of non-fullerene polymer organic solar cell,Hemraj Dahiya; Manish Kumar Singh; Ganesh D. Sharma,2021,10.1016/j.matpr.2021.05.503,https://doi.org/10.1016/j.matpr.2021.05.503,crossref,Elsevier BV,Materials Today: Proceedings,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
78.72666666666667,useful literature,Study of charge transfer in D-A conjugated donor and non-fullerene small molecule acceptor for the application of non-fullerene polymer organic solar cell,Hemraj Dahiya; Manish Kumar Singh; Ganesh D. Sharma,2022,10.1016/j.matpr.2022.02.114,https://doi.org/10.1016/j.matpr.2022.02.114,crossref,Elsevier BV,Materials Today: Proceedings,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
78.72666666666667,useful literature,Reduced miscibility between highly compatible non-fullerene acceptor and donor enables efficient ternary organic solar cells,Shili Cheng; Liang Wang; Chuanhang Guo; Donghui Li; Jinlong Cai; Weiqiang Miao; Baocai Du; Pang Wang; Dan Liu; Tao Wang,2021,10.1016/j.polymer.2021.124322,https://doi.org/10.1016/j.polymer.2021.124322,crossref,Elsevier BV,Polymer,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
78.72666666666667,useful literature,Structure and Dynamics of Star Polymer Films from Coarse-Grained Molecular Simulations,Wengang Zhang; Jack F. Douglas; Alexandros Chremos; Francis W. Starr,2021,10.1021/acs.macromol.1c00504,https://doi.org/10.1021/acs.macromol.1c00504,crossref,American Chemical Society (ACS),Macromolecules,journal-article,True,coarse-grained molecular simulation polymer film; molecular simulations; polymer films,False
78.72666666666667,useful literature,Polymer brushes in pores by ATRP: Monte Carlo simulations,Piotr Polanowski; Jeremiasz K. Jeszka; Krzysztof Matyjaszewski,2020,10.1016/j.polymer.2020.123124,https://doi.org/10.1016/j.polymer.2020.123124,crossref,Elsevier BV,Polymer,journal-article,True,Monte Carlo simulation polymer blend; Monte Carlo simulations; polymer films,False
78.72666666666667,useful literature,A three-dimensional multi-chromophore naphthalene diimide acceptor for polymer bulk heterojunction solar cells,Hui Jin; Dani M. Stoltzfus; Jaber Saghaei; Paul L. Burn; Paul E. Shaw,2020,10.1016/j.synthmet.2020.116505,https://doi.org/10.1016/j.synthmet.2020.116505,crossref,Elsevier BV,Synthetic Metals,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology,False
78.72666666666667,useful literature,Three-dimensional periodic architecture in Poly(ε-caprolactone) crystallized in bulk aggregates,Selvaraj Nagarajan; Eamor M. Woo,2020,10.1016/j.polymer.2020.123059,https://doi.org/10.1016/j.polymer.2020.123059,crossref,Elsevier BV,Polymer,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology,False
78.56,useful literature,Inverted Bulk Heterojunction (BHJ) Polymer (PCDTBT-PC70BM) Solar Photovoltaic Technology,Yogesh Kumar Dongre; Sanjay Tiwari,2022,10.52228/jrub.2022-35-1-3,https://doi.org/10.52228/jrub.2022-35-1-3,crossref,"School of Studies In Chemistry, Pandit Ravishankar Shukla University",Journal of Ravishankar University (PART-B),journal-article,False,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
77.76666666666667,useful literature,The capacitance characteristics of polybenzidine-based donor–acceptor conductive conjugated polymer electrodes enhanced by structural modification and carbon cloth loading,Tingting He; Shanshan He; Arzugul Muslim,2023,10.1016/j.eurpolymj.2023.111994,https://doi.org/10.1016/j.eurpolymj.2023.111994,crossref,Elsevier BV,European Polymer Journal,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
77.76666666666667,useful literature,Epoxy composite films of superior dielectric properties promoted by active ester hardeners for applications in electronic packaging,Feng Zhang; Peng Li; Lin Wang; Shuhui Yu; Rong Sun; Keyu Zheng; Suibin Luo,2024,10.1016/j.eurpolymj.2024.113404,https://doi.org/10.1016/j.eurpolymj.2024.113404,crossref,Elsevier BV,European Polymer Journal,journal-article,True,organic photodiode active layer; polymer films,False
77.76666666666667,useful literature,Balancing flame retardancy and high toughness in solvent-free reactive polyurethane films via P/Si synergistic strategy,Jinbiao Zhao; Huimin Duan; Xinxin Xu; Shangchao Ji; Hao Yang; Zhichao Huang; Qi Zhong; Dongming Qi,2025,10.1016/j.eurpolymj.2025.113810,https://doi.org/10.1016/j.eurpolymj.2025.113810,crossref,Elsevier BV,European Polymer Journal,journal-article,True,polymer films; solvent evaporation morphology,False
77.76666666666667,useful literature,Fast solvent evaporation by experimental optimization using central composite design for one-step fabrication of superhydrophobic polypropylene surface,Keivan Habibi; Nadereh Golshan Ebrahimi; Emad Jafari Nodoushan,2023,10.1007/s13726-022-01108-x,https://doi.org/10.1007/s13726-022-01108-x,crossref,Springer Science and Business Media LLC,Iranian Polymer Journal,journal-article,True,polymer films; solvent evaporation morphology,False
76.72666666666667,useful literature,Effects of Bulk Heterojunction Morphology Control via Thermal Annealing on the Fill Factor of Anthracene-based Polymer Solar Cells,Hyojung Cha; Jiaqiang Li; Yifan Li; Seul-Ong Kim; Yun-Hi Kim; Soon-Ki Kwon,2020,10.1007/s13233-020-8107-z,https://doi.org/10.1007/s13233-020-8107-z,crossref,Springer Science and Business Media LLC,Macromolecular Research,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
75.72666666666667,useful literature,A new donor-acceptor conjugated polymer-gold nanoparticles biocomposite materials for enzymatic determination of glucose,Burcu Tan; Fatma Baycan,2020,10.1016/j.polymer.2020.123066,https://doi.org/10.1016/j.polymer.2020.123066,crossref,Elsevier BV,Polymer,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
75.72666666666667,useful literature,Tuning phase separation morphology in blend thin films using well-defined linear (multi)block copolymers,Hong Zhang; Glenn K.K. Clothier; Thiago R. Guimarães; Rio Kita‬; Per B. Zetterlund; Yosuke Okamura,2022,10.1016/j.polymer.2021.124466,https://doi.org/10.1016/j.polymer.2021.124466,crossref,Elsevier BV,Polymer,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
75.72666666666667,useful literature,Impact of Sequential Fluorination of Donor and/or Acceptor Polymers on the Efficiency and Morphology of All-Polymer Solar Cells,Kakaraparthi Kranthiraja; Akinori Saeki,2021,10.1021/acsapm.1c00288,https://doi.org/10.1021/acsapm.1c00288,crossref,American Chemical Society (ACS),ACS Applied Polymer Materials,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
75.72666666666667,useful literature,Multiscale simulations of coupled composition-stress-morphology of binary polymer blend,Ling-Hua Huang; Ching-Hung Wu; Chi-Chung Hua; Tien-Jung Huang,2020,10.1016/j.polymer.2020.122366,https://doi.org/10.1016/j.polymer.2020.122366,crossref,Elsevier BV,Polymer,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
75.72666666666667,useful literature,Comparison of the mechanical properties of polymer blend and main-chain conjugated copolymer films with donor–acceptor heterojunctions,Young Un Kim; Boo Soo Ma; Youngno Kim; Su Hong Park; Hungu Kang; Hyo Jae Yoon; Min Ju Cho; Taek-Soo Kim; Jung Hyun Kim; Dong Hoon Choi,2021,10.1016/j.cej.2021.128952,https://doi.org/10.1016/j.cej.2021.128952,crossref,Elsevier BV,Chemical Engineering Journal,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
75.72666666666667,useful literature,Effect of colloid aggregation characteristic on ZnO interface layer and photovoltaic performance of polymer solar cells,Chang Zhou; Rong Hu; Yurong Liu; Ming-Ming Huo; Lu Li; Junsheng Yu,2020,10.1016/j.orgel.2020.105753,https://doi.org/10.1016/j.orgel.2020.105753,crossref,Elsevier BV,Organic Electronics,journal-article,True,organic photovoltaic active layer; polymer films,False
75.72666666666667,useful literature,Mussel-inspired UV protective organic coatings via layer-by-layer assembly,Arshdeep Kaur Gill; Sk. Riyajuddin; Mujeeb Alam; Kaushik Ghosh; Debabrata Patra,2020,10.1016/j.eurpolymj.2019.109455,https://doi.org/10.1016/j.eurpolymj.2019.109455,crossref,Elsevier BV,European Polymer Journal,journal-article,True,organic photodiode active layer; organic photovoltaic active layer; polymer films,False
75.72666666666667,useful literature,Mussel-inspired layer-by-layer assembled polymeric films with fast growing and NIR light triggered healing capabilities,Xu Wang; Rui Wang; Fapu Wu; Huijuan Yue; Zhifeng Cui; Xianfeng Zhou; Yingxi Lu,2021,10.1016/j.eurpolymj.2021.110689,https://doi.org/10.1016/j.eurpolymj.2021.110689,crossref,Elsevier BV,European Polymer Journal,journal-article,True,organic photodiode active layer; organic photovoltaic active layer; polymer films,False
75.72666666666667,useful literature,Photo-active chitosan-based hybrid films,Raquel Fernández; Sebastian Bonardd; Itxaso Algar; Irati Barandiaran; Galder Kortaberria; Junkal Gutierrez; Agnieszka Tercjak,2020,10.1016/j.eurpolymj.2019.109373,https://doi.org/10.1016/j.eurpolymj.2019.109373,crossref,Elsevier BV,European Polymer Journal,journal-article,True,organic photodiode active layer; organic photovoltaic active layer; polymer films,False
75.72666666666667,useful literature,Fast uptake of organic pollutants from dilute aqueous solutions by nanoporous-crystalline PPO films with c-perpendicular orientation,Antonietta Cozzolino; Baku Nagendra; Paola Rizzo; Christophe Daniel; Gaetano Guerra,2022,10.1016/j.eurpolymj.2021.110976,https://doi.org/10.1016/j.eurpolymj.2021.110976,crossref,Elsevier BV,European Polymer Journal,journal-article,True,crystallization regulator organic semiconductor; organic photodiode active layer; polymer films,False
75.72666666666667,useful literature,Fast uptake of organic pollutants from dilute aqueous solutions by nanoporous-crystalline PPO films with c-perpendicular orientation,Antonietta Cozzolino; Baku Nagendra; Paola Rizzo; Christophe Daniel; Gaetano Guerra,2021,10.1016/j.eurpolymj.2021.110864,https://doi.org/10.1016/j.eurpolymj.2021.110864,crossref,Elsevier BV,European Polymer Journal,journal-article,True,crystallization regulator organic semiconductor; organic photodiode active layer; polymer films,False
75.72666666666667,useful literature,Effect of polymer functionalized fullerene soot on C6 glial cells,S.S. Athira; T.E. Biby; P.V. Mohanan,2020,10.1016/j.eurpolymj.2020.109572,https://doi.org/10.1016/j.eurpolymj.2020.109572,crossref,Elsevier BV,European Polymer Journal,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
75.72666666666667,useful literature,Influence of Ionomer Loading and Substrate Wettability on the Morphology of Ionomer Thin Films Using Coarse-Grained Solvent Evaporation Simulations,Takuya Mabuchi; Sheng-Feng Huang; Takashi Tokumasu,2021,10.1021/acs.macromol.0c01303,https://doi.org/10.1021/acs.macromol.0c01303,crossref,American Chemical Society (ACS),Macromolecules,journal-article,True,polymer films; solvent evaporation morphology,False
75.72666666666667,useful literature,Electrospinning of polymer solutions: An analysis of instability in a thinning jet with solvent evaporation,Dharmansh Deshawar; Karan Gupta; Paresh Chokshi,2020,10.1016/j.polymer.2020.122656,https://doi.org/10.1016/j.polymer.2020.122656,crossref,Elsevier BV,Polymer,journal-article,True,polymer films; solvent evaporation morphology,False
75.72666666666667,useful literature,Evolution and Morphology of Thin Films Formed by Solvent Evaporation: An Organic Semiconductor Case Study,Thomas Lee; Audrey V. Sanzogni; Paul L. Burn; Alan E. Mark,2020,10.1021/acsami.0c08454,https://doi.org/10.1021/acsami.0c08454,crossref,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,journal-article,True,polymer films; solvent evaporation morphology,False
75.72666666666667,useful literature,Microfluidic fabrication of polymer blend particles containing poly(4-butyltriphenylamine)-block-poly(methyl methacrylate): effect of block copolymer and rate of solvent evaporation on morphology,Ryoka Shoji; Saki Yoshida; Shu Kikuchi; Shinji Kanehashi; Kazuo Okamoto; Guanghui Ma; Kenji Ogino,2021,10.1007/s00396-021-04817-6,https://doi.org/10.1007/s00396-021-04817-6,crossref,Springer Science and Business Media LLC,Colloid and Polymer Science,journal-article,True,polymer films; solvent evaporation morphology,False
75.72666666666667,useful literature,Organic-solvent-dispersible paramylon nanofibers: Hygroscopicity and extended dye release from its cast films,Motonari Shibakami,2021,10.1016/j.polymer.2021.124082,https://doi.org/10.1016/j.polymer.2021.124082,crossref,Elsevier BV,Polymer,journal-article,True,polymer films; solvent evaporation morphology,False
75.72666666666667,useful literature,Residual solvent induced physical morphology and gas permeation in polyamide-imide membrane: Experimental investigation and molecular simulations,N. Shiva Prasad; Ravichandar Babarao; Srinivasan Madapusi; Sundergopal Sridhar; Namita Roy Choudhury; Suresh K. Bhargava,2022,10.1016/j.eurpolymj.2022.111012,https://doi.org/10.1016/j.eurpolymj.2022.111012,crossref,Elsevier BV,European Polymer Journal,journal-article,True,molecular simulations; polymer films; solvent evaporation morphology,False
75.72666666666667,useful literature,Polymer Crystallization Research in Europe,Dario Cavallo; Dimitri Ivanov; Bart Goderis,2020,10.1002/pcr2.10166,https://doi.org/10.1002/pcr2.10166,crossref,Hindawi Limited,POLYMER CRYSTALLIZATION,journal-article,True,crystallization regulator organic semiconductor; polymer films,False
75.72666666666667,useful literature,Polymer additive assisted crystallization of perovskite films for high-performance solar cells,Yeming Mei; Mengna Sun; Hongli Liu; Xianggao Li; Shirong Wang,2021,10.1016/j.orgel.2021.106258,https://doi.org/10.1016/j.orgel.2021.106258,crossref,Elsevier BV,Organic Electronics,journal-article,True,crystallization regulator organic semiconductor; polymer films,False
75.72666666666667,useful literature,Diffusion of nitrogen gas through polyethylene based films,Annamaria Visco; Cristina Scolaro; Alfio Torrisi; Lorenzo Torrisi,2021,10.1002/pcr2.10207,https://doi.org/10.1002/pcr2.10207,crossref,Wiley,POLYMER CRYSTALLIZATION,journal-article,True,crystallization regulator organic semiconductor; polymer films,False
75.72666666666667,useful literature,Solubility considerations in relative block crystallization and morphology of PEO‐ b ‐PCL films,Cole W. Tower; Kristi Allen; Allison Carandang; Ryan M. Van Horn,2020,10.1002/pcr2.10107,https://doi.org/10.1002/pcr2.10107,crossref,Wiley,POLYMER CRYSTALLIZATION,journal-article,True,crystallization regulator organic semiconductor; polymer films,False
75.72666666666667,useful literature,The effect of molecular weight and deposition temperature on the formation of poly(ethylene oxide) films using the femtosecond pulsed laser deposition,Dieter Fischer,2020,10.1002/pcr2.10153,https://doi.org/10.1002/pcr2.10153,crossref,Wiley,POLYMER CRYSTALLIZATION,journal-article,True,crystallization regulator organic semiconductor; polymer films,False
75.72666666666667,useful literature,Metal-induced crystallization of amorphous semiconductor films: Nucleation phenomena in Ag-Ge films,Aleksandr Kryshtal; Sergiy Bogatyrenko; Paulo Ferreira,2022,10.1016/j.apsusc.2022.154873,https://doi.org/10.1016/j.apsusc.2022.154873,crossref,Elsevier BV,Applied Surface Science,journal-article,True,crystallization regulator organic semiconductor; polymer films,False
75.72666666666667,useful literature,Confined crystallization and polymorphism in iPP thin films,Federico Di Sacco; Leon de Jong; Théophile Pelras; Giuseppe Portale,2022,10.1016/j.polymer.2022.125126,https://doi.org/10.1016/j.polymer.2022.125126,crossref,Elsevier BV,Polymer,journal-article,True,crystallization regulator organic semiconductor; polymer films,False
