relevance_score,quality_flag,title,authors,publication_year,doi,url,source_name,publisher,venue,document_type,open_access,matched_keywords,manual_review_required
66.53333333333333,useful literature,"Decision letter for ""Photo-responsive nanoporous liquid crystal polymer films for selective dye adsorption""",,2023,10.1039/d3ra06791b/v1/decision1,https://doi.org/10.1039/d3ra06791b/v1/decision1,crossref,Royal Society of Chemistry (RSC),,peer-review,False,polymer adsorption; polymer films,False
66.53333333333333,useful literature,"Decision letter for ""Photo-responsive nanoporous liquid crystal polymer films for selective dye adsorption""",,2023,10.1039/d3ra06791b/v2/decision1,https://doi.org/10.1039/d3ra06791b/v2/decision1,crossref,Royal Society of Chemistry (RSC),,peer-review,False,polymer adsorption; polymer films,False
66.46666666666667,useful literature,Engineering solvent resistance in semiconducting polymer films through UV-induced polydiacetylene crosslinking,Amit K. Sur; Audithya Nyayachavadi; Piumi Kulatunga; Nien-Jung Li; Yu‐Cheng Chiu; Simon Rondeau‐Gagné,2025,10.1039/d5ra02367j,https://openalex.org/W4412156319,openalex,,RSC Advances,article,True,polymer film morphology; polymer films,False
66.46666666666667,useful literature,Study on Conductive Polymer Films for Flexible Electronic Devices,Rashid Khan; Kavita Srivastava,2023,10.55544/jrasb.2.2.42,https://openalex.org/W7110142320,openalex,,Journal for Research in Applied Sciences and Biotechnology,article,True,polymer film morphology; polymer films,False
66.22666666666667,useful literature,"Glycerol: Its properties, polymer synthesis, and applications in starch based films",Zhu Ying Ben; Hayati Samsudin; Mohd Firdaus Yhaya,2022,10.1016/j.eurpolymj.2022.111377,https://doi.org/10.1016/j.eurpolymj.2022.111377,crossref,Elsevier BV,European Polymer Journal,journal-article,True,polymer films,False
66.08666666666667,useful literature,Advancements in Novel Mechano-Rheological Probes for Studying Glassy Dynamics in Nanoconfined Thin Polymer Films,Mithun Madhusudanan; Mithun Chowdhury,2024,10.1021/acspolymersau.4c00022,https://doi.org/10.1021/acspolymersau.4c00022,doaj,,ACS Polymers Au,journal-article,True,polymer films,False
64.56,useful literature,"Electrical stimulation affects adsorption dynamics in a conductive, biocompatible polymer",Savannah Mandel,2020,10.1063/10.0000962,https://doi.org/10.1063/10.0000962,crossref,AIP Publishing,Scilight,journal-article,False,polymer adsorption,False
64.16,useful literature,Adsorption of Polymer-Grafted Nanoparticles on Curved Surfaces,Aye Ozmaian; Rob D. Coalson; Masoumeh Ozmaian,2021,10.20944/preprints202102.0505.v1,https://doi.org/10.20944/preprints202102.0505.v1,crossref,MDPI AG,,posted-content,True,polymer adsorption,False
64.16,useful literature,The interplay between bi-modal molecular weight distribution in polystyrene and humidity induces self-assembly of biomimetic micropillars/honeycomb morphology in the thin polymer film,Maciej Łojkowski; Adrian Chlanda; Emilia Choińska; Wojciech Swieszkowski,2021,10.26434/chemrxiv.14054033.v4,https://doi.org/10.26434/chemrxiv.14054033.v4,crossref,American Chemical Society (ACS),,posted-content,True,polymer film morphology,False
64.16,useful literature,The interplay between bi-modal molecular weight distribution in polystyrene and humidity induces self-assembly of biomimetic micropillars/honeycomb morphology in the thin polymer film,Maciej Łojkowski; Adrian Chlanda; Emilia Choińska; Wojciech Swieszkowski,2021,10.26434/chemrxiv.14054033.v5,https://doi.org/10.26434/chemrxiv.14054033.v5,crossref,American Chemical Society (ACS),,posted-content,True,polymer film morphology,False
64.16,useful literature,Exploiting the Interplay Between Bi-Modal Molecular Weight Distribution in Polystyrene and Humidity to Induce Self-Assembly of Biomimetic Micropillars/honeycomb Morphology in Thin Polymer Film,Maciej Łojkowski; Adrian Chlanda; Emilia Choińska; Wojciech Swieszkowski,2021,10.26434/chemrxiv.14054033.v2,https://doi.org/10.26434/chemrxiv.14054033.v2,crossref,American Chemical Society (ACS),,posted-content,True,polymer film morphology,False
64.16,useful literature,Exploiting the Interplay Between Bi-Modal Molecular Weight Distribution in Polystyrene and Humidity to Induce Self-Assembly of Biomimetic Micropillars/honeycomb Morphology in Thin Polymer Film,Maciej Łojkowski; Adrian Chlanda; Emilia Choińska; Wojciech Swieszkowski,2021,10.26434/chemrxiv.14054033.v3,https://doi.org/10.26434/chemrxiv.14054033.v3,crossref,American Chemical Society (ACS),,posted-content,True,polymer film morphology,False
64.16,useful literature,Exploiting the Interplay Between Bi-Modal Molecular Weight Distribution in Polystyrene and Humidity to Induce Self-Assembly of Biomimetic Micropillars/honeycomb Morphology in Thin Polymer Film,Maciej Łojkowski; Adrian Chlanda; Emilia Choińska; Wojciech Swieszkowski,2021,10.26434/chemrxiv.14054033.v1,https://doi.org/10.26434/chemrxiv.14054033.v1,crossref,American Chemical Society (ACS),,posted-content,True,polymer film morphology,False
63.72666666666667,useful literature,Metallomesogen Mixtures as Potential Materials for Application in Liquid Crystal Devices,,2022,10.47485/2832-9384.1020,https://doi.org/10.47485/2832-9384.1020,crossref,Uniscience Publishers LLC,Journal of Materials and Polymer Science,journal-article,False,2-dimensional polymer mixtures,False
63.72666666666667,useful literature,Eutectic Mixtures of Metallomesogens as Potential Materials for Electro-Optical Applications,,2022,10.47485/2832-9384.1012,https://doi.org/10.47485/2832-9384.1012,crossref,Uniscience Publishers LLC,Journal of Materials and Polymer Science,journal-article,False,2-dimensional polymer mixtures,False
63.46666666666667,useful literature,"Polymer Films with Metal‐Like Thermal Conductivity, Excellent Stability, and Flame Retardancy",Yong Liu; Weizhi Zou; Meng Yang; Heng Luo; Shijia Yang; Jian Xu; Ning Zhao,2023,10.1002/adfm.202303561,https://openalex.org/W4378176235,openalex,,Advanced Functional Materials,article,False,polymer films,False
63.46666666666667,useful literature,Metastable Polymer Adsorption Dictates the Dynamical Gradients at Interfaces,Houkuan Tian; Chaofan Bi; Zhiqiang Li; Chen Wang; Biao Zuo,2023,10.1021/acs.macromol.3c00414,https://openalex.org/W4378838966,openalex,,Macromolecules,article,False,polymer adsorption,False
63.42666666666666,useful literature,A practical guide to quartz crystal microbalance with dissipation monitoring of thin polymer films,Alexandra D. Easley; Ting Ma; Chikaodinaka I. Eneh; Junyeong Yun; Ratul Mitra Thakur; Jodie L. Lutkenhaus,2021,10.1002/pol.20210324,https://openalex.org/W3185956237,openalex,,Journal of Polymer Science,article,True,polymer films,False
63.42666666666666,useful literature,Ultrahigh Energy Density in Continuously Gradient‐Structured All‐Organic Dielectric Polymer Films,Yanda Jiang; Jian Wang; Shengliao Yan; Zhonghui Shen; Lijie Dong; Shujun Zhang; Xin Zhang; Ce‐Wen Nan,2022,10.1002/adfm.202200848,https://openalex.org/W4220730355,openalex,,Advanced Functional Materials,article,True,polymer films,False
63.42666666666666,useful literature,Unveiling the mechanisms of lithium dendrite suppression by cationic polymer film induced solid–electrolyte interphase modification,Seung‐Yong Lee; Junyi Shangguan; Judith Alvarado; Sophia B. Betzler; Stephen J. Harris; Marca M. Doeff; Haimei Zheng,2020,10.1039/d0ee00518e,https://openalex.org/W3020893804,openalex,,Energy & Environmental Science,article,True,polymer films,False
63.42666666666666,useful literature,Polymer Films from Cellulose Nanofibrils—Effects from Interfibrillar Interphase on Mechanical Behavior,Xuan Yang; Erik Jungstedt; Michael S. Reid; Lars A. Berglund,2021,10.1021/acs.macromol.1c00305,https://openalex.org/W3159428001,openalex,,Macromolecules,article,True,polymer films,False
63.42666666666666,useful literature,Comparative Investigation on the Soil Burial Degradation Behaviour of Polymer Films for Agriculture before and after Photo-Oxidation,Francesco Paolo La Mantia; Laura Ascione; Maria Chiara Mistretta; Marco Rapisarda; Paola Rizzarelli,2020,10.3390/polym12040753,https://openalex.org/W3013821118,openalex,,Polymers,article,True,polymer films,False
63.42666666666666,useful literature,Tunable Dopants with Intrinsic Counterion Separation Reveal the Effects of Electron Affinity on Dopant Intercalation and Free Carrier Production in Sequentially Doped Conjugated Polymer Films,Taylor J. Aubry; K. J. Winchell; Charlene Z. Salamat; Victoria M. Basile; Jeffrey Lindemuth; Julia M. Stauber; Jonathan C. Axtell; Rebecca Kubena; Minh D. Phan; Matthew J. Bird; Alexander M. Spokoyny; Sarah H. Tolbert; Benjamin J. Schwartz,2020,10.1002/adfm.202001800,https://openalex.org/W3027715086,openalex,,Advanced Functional Materials,article,True,polymer films,False
63.42666666666666,useful literature,Effect of Gellan Gum and Xanthan Gum Synergistic Interactions and Plasticizers on Physical Properties of Plant-Based Enteric Polymer Films,Na Zhang; Xiaohui Li; Jing Ye; Yucheng Yang; Yayan Huang; Xueqin Zhang; Meitian Xiao,2020,10.3390/polym12010121,https://openalex.org/W2998045248,openalex,,Polymers,article,True,polymer films,False
63.42666666666666,useful literature,"Polymer Film Blend of Polyvinyl Alcohol, Trichloroethylene and Cresol Red for Gamma Radiation Dosimetry",Aris Doyan; Susilawati Susilawati; Saiful Prayogi; Muhammad Roil Bilad; Muhamad F. Arif; Noor Maizura Ismail,2021,10.3390/polym13111866,https://openalex.org/W3167027743,openalex,,Polymers,article,True,polymer films,False
63.42666666666666,useful literature,Effect of surface properties and polymer chain length on polymer adsorption in solution,Emily Y. Lin; Amalie L. Frischknecht; Karen I. Winey; Robert A. Riggleman,2021,10.1063/5.0052121,https://openalex.org/W3182656372,openalex,,The Journal of Chemical Physics,article,True,polymer adsorption,False
63.42666666666666,useful literature,Plant cell wall inspired xyloglucan/cellulose nanocrystals aerogels produced by freeze-casting,Zahraa Jaafar; B. Quelennec; Céline Moreau; Denis Lourdin; Jean‐Eudes Maigret; Bruno Pontoire; Angélina D’Orlando; Thibaud Coradin; Benoı̂t Duchemin; Francisco M. Fernandes; Bernard Cathala,2020,10.1016/j.carbpol.2020.116642,https://openalex.org/W3036506508,openalex,,Carbohydrate Polymers,article,True,polymer adsorption,False
63.42666666666666,useful literature,Role of Adsorbed Polymers on Nanoparticle Dispersion in Drying Polymer Nanocomposite Films,Sunhyung Kim; Sol Mi Oh; So Youn Kim; June Dong Park,2021,10.3390/polym13172960,https://openalex.org/W3196390181,openalex,,Polymers,article,True,polymer adsorption,False
63.42666666666666,useful literature,Directed self-assembly in “breath figure” templating of block copolymers followed by soft hydrolysis-condensation: One step towards synthetic bio-inspired silica diatoms exoskeleton,Antoine Aynard; Laurence Pessoni; Laurent Billon,2020,10.1016/j.polymer.2020.123047,https://openalex.org/W3087204974,openalex,,Polymer,article,True,polymer film morphology,False
63.42666666666666,useful literature,Diffusion-limited hydrolysis in polymeric materials,Erik Linde; Nicholas Henry Giron; Mathew C. Celina,2022,10.1016/j.polymdegradstab.2022.110095,https://openalex.org/W4292373199,openalex,,Polymer Degradation and Stability,article,True,polymer film morphology,False
63.42666666666666,useful literature,Thermal Transitions in P3HT:PC60BM Films Based on Electrical Resistance Measurements,Barbara Hajduk; Henryk Bednarski; Marian Domański; Bożena Jarząbek; Barbara Trzebicka,2020,10.3390/polym12071458,https://openalex.org/W3037905343,openalex,,Polymers,article,True,polymer film morphology,False
63.42666666666666,useful literature,The Effect of Pollutant Gases on Surfactant Migration in Acrylic Emulsion Films: A Comparative Study and Preliminary Evaluation of Surface Cleaning,Laura Pagnin; Rita Wiesinger; Ayse Koyun; Manfred Schreiner,2021,10.3390/polym13121941,https://openalex.org/W3166358047,openalex,,Polymers,article,True,polymer film morphology,False
63.06666666666668,useful literature,From Basics to Frontiers: A Comprehensive Review of Plasma-Modified and Plasma-Synthesized Polymer Films,Thierry Dufour,2023,10.3390/polym15173607,https://openalex.org/W4386283506,openalex,,Polymers,review,True,polymer films,False
62.766666666666666,useful literature,1-dimensional polymer nanostructure from aromatic diamine,Partha P. Sarma; Basanta K. Rajbongshi; Jiban J. Das; Mridula Baro,2025,10.1063/5.0249957,https://doi.org/10.1063/5.0249957,crossref,AIP Publishing,AIP Conference Proceedings,proceedings-article,False,2-dimensional polymer systems,False
62.766666666666666,useful literature,"169Chapter 7 Phase Separation and Interface in Polymers: Blends, IPN, Composites",Cemil Alkan,2025,10.1515/9783110714012-007,https://doi.org/10.1515/9783110714012-007,crossref,De Gruyter,Polymer Interfacial Characteristics,book-chapter,False,2-dimensional polymer blends,False
62.766666666666666,useful literature,Applications of Immiscible Polymer Blends,Suprakas Sinha Ray; Amanuel Geberekrstos; Tanyaradzwa Sympathy Muzata; Jonathan Tersur Orasugh,2023,10.3139/9781569909195.009,https://doi.org/10.3139/9781569909195.009,crossref,Carl Hanser Verlag GmbH & Co. KG,Process-Induced Phase Separation in Polymer Blends,book-chapter,False,2-dimensional polymer blends,False
62.766666666666666,useful literature,1Chapter 1 Effect of Interfaces on the Electrical and Dielectric Properties of Polymeric Blends and Composites,György Bánhegyi,2025,10.1515/9783110714012-001,https://doi.org/10.1515/9783110714012-001,crossref,De Gruyter,Polymer Interfacial Characteristics,book-chapter,False,2-dimensional polymer blends,False
62.766666666666666,useful literature,Elements of Thermodynamics of Mixtures,Menno A. van Dijk; André Wakker,2023,10.1201/9781003421306-2,https://doi.org/10.1201/9781003421306-2,crossref,CRC Press,"Concepts in Polymer Thermodynamics, Volume II",book-chapter,False,2-dimensional polymer mixtures,False
62.766666666666666,useful literature,Basic Thermodynamics of Polymeric Mixtures,Menno A. van Dijk; André Wakker,2023,10.1201/9781003421306-3,https://doi.org/10.1201/9781003421306-3,crossref,CRC Press,"Concepts in Polymer Thermodynamics, Volume II",book-chapter,False,2-dimensional polymer mixtures,False
62.726666666666674,useful literature,Strong UV absorption by nanoparticulated lignin in polymer films with reinforcement of mechanical properties,Kazuhiro Shikinaka; Masaya Nakamura; Yuichiro Otsuka,2020,10.1016/j.polymer.2020.122254,https://doi.org/10.1016/j.polymer.2020.122254,crossref,Elsevier BV,Polymer,journal-article,True,polymer films,False
62.726666666666674,useful literature,Molecular dynamics simulations of ultrathin PMMA films,Lili Zhang; Norman A. Fleck,2021,10.1016/j.polymer.2021.123748,https://doi.org/10.1016/j.polymer.2021.123748,crossref,Elsevier BV,Polymer,journal-article,True,polymer films,False
62.726666666666674,useful literature,High diffusivity dense films of a nanoporous-crystalline polymer,Christophe Daniel; Paola Rizzo; Baku Nagendra; Antonietta Cozzolino; Gaetano Guerra,2021,10.1016/j.polymer.2021.124005,https://doi.org/10.1016/j.polymer.2021.124005,crossref,Elsevier BV,Polymer,journal-article,True,polymer films,False
62.726666666666674,useful literature,Synthesis of highly-crystalline graphite films from organic polymer films,Yasushi Soneda; Michio Inagaki,2022,10.1016/j.carbon.2022.03.074,https://doi.org/10.1016/j.carbon.2022.03.074,crossref,Elsevier BV,Carbon,journal-article,True,polymer films,False
62.726666666666674,useful literature,Fluorescent cellulose films with pH response and polarized emission,Tao Shi; Yun Lu,2020,10.1016/j.polymer.2020.122167,https://doi.org/10.1016/j.polymer.2020.122167,crossref,Elsevier BV,Polymer,journal-article,True,polymer films,False
62.726666666666674,useful literature,Formation and applications of polymer films with gas-phase aggregated nanoparticles: A brief review,Vladimir N. Popok,2022,10.1016/j.tsf.2022.139359,https://doi.org/10.1016/j.tsf.2022.139359,crossref,Elsevier BV,Thin Solid Films,journal-article,True,polymer films,False
62.726666666666674,useful literature,Determining effective crack lengths from electrical measurements in polymer-supported thin films,O. Glushko; B. Putz; M.J. Cordill,2020,10.1016/j.tsf.2020.137906,https://doi.org/10.1016/j.tsf.2020.137906,crossref,Elsevier BV,Thin Solid Films,journal-article,True,polymer films,False
62.726666666666674,useful literature,Residual changes and thickness effects in glass-forming polymer thin films after solvent vapor annealing,Mikhail Y. Efremov; Paul F. Nealey,2022,10.1016/j.polymer.2021.124417,https://doi.org/10.1016/j.polymer.2021.124417,crossref,Elsevier BV,Polymer,journal-article,True,polymer films,False
62.726666666666674,useful literature,TransPoly: A theoretical model to quantify the dynamics of water transfer through nanostructured polymer films,Giana Almeida; Sandra Domenek; Patrick Perré,2020,10.1016/j.polymer.2020.122256,https://doi.org/10.1016/j.polymer.2020.122256,crossref,Elsevier BV,Polymer,journal-article,True,polymer films,False
62.726666666666674,useful literature,Complex polymer topologies and polymer—nanoparticle hybrid films prepared via surface-initiated controlled radical polymerization,Piotr Mocny; Harm-Anton Klok,2020,10.1016/j.progpolymsci.2019.101185,https://doi.org/10.1016/j.progpolymsci.2019.101185,crossref,Elsevier BV,Progress in Polymer Science,journal-article,True,polymer films,False
62.726666666666674,useful literature,"Piezoelectric polymer films: synthesis, applications, and modeling",Ouassim Hamdi; Frej Mighri; Denis Rodrigue,2020,10.1016/b978-0-08-103013-4.00005-4,https://doi.org/10.1016/b978-0-08-103013-4.00005-4,crossref,Elsevier,Polymer Nanocomposite-Based Smart Materials,book-chapter,True,polymer films,False
62.726666666666674,useful literature,Organic-solvent-dispersible paramylon nanofibers: Hygroscopicity and extended dye release from its cast films,Motonari Shibakami,2021,10.1016/j.polymer.2021.124082,https://doi.org/10.1016/j.polymer.2021.124082,crossref,Elsevier BV,Polymer,journal-article,True,polymer films,False
62.726666666666674,useful literature,Synthesis of Polymer Nanocomposite Films,Ahlam F. M. Alsayed; Muhammad Aqeel Ashraf,2021,10.1007/978-3-030-40513-7_9,https://doi.org/10.1007/978-3-030-40513-7_9,crossref,Springer International Publishing,Handbook of Polymer and Ceramic Nanotechnology,book-chapter,True,polymer films,False
62.726666666666674,useful literature,Effects of electron irradiation on structure and bonding of polymer spherulite thin films,Changsheng Chen; Xuyun Guo; Guangming Zhao; Yunduo Yao; Ye Zhu,2022,10.1016/j.polymer.2022.125195,https://doi.org/10.1016/j.polymer.2022.125195,crossref,Elsevier BV,Polymer,journal-article,True,polymer films,False
62.726666666666674,useful literature,Functionalization of stainless steel 316L with corrosion resistant polymer films,Alexander J. Rupprecht; Emily Allego; Rachelle Palchesko; Ellen S. Gawalt,2021,10.1016/j.tsf.2021.138543,https://doi.org/10.1016/j.tsf.2021.138543,crossref,Elsevier BV,Thin Solid Films,journal-article,True,polymer films,False
62.726666666666674,useful literature,MoS2: Advanced nanofiller for reinforcing polymer matrix,A.S. Sethulekshmi; Jitha S. Jayan; Saritha Appukuttan; Kuruvilla Joseph,2021,10.1016/j.physe.2021.114716,https://doi.org/10.1016/j.physe.2021.114716,crossref,Elsevier BV,Physica E: Low-dimensional Systems and Nanostructures,journal-article,True,2-dimensional polymer systems,False
62.726666666666674,useful literature,Room temperature charge storage ability and magnetoelectric coupling of flexible polymer nanocomposite films,Monalisa Halder; Rabindranath Bhowmik; Ajit Kumar Meikap,2020,10.1016/j.physe.2020.114346,https://doi.org/10.1016/j.physe.2020.114346,crossref,Elsevier BV,Physica E: Low-dimensional Systems and Nanostructures,journal-article,True,2-dimensional polymer systems,False
62.726666666666674,useful literature,Reliability evaluation based on modal parameters of carbon-nanotube-reinforced-polymer-composite material using multiscale finite element model,Jorge Alberto Palacios; Rajamohan Ganesan,2021,10.1016/j.physe.2020.114318,https://doi.org/10.1016/j.physe.2020.114318,crossref,Elsevier BV,Physica E: Low-dimensional Systems and Nanostructures,journal-article,True,2-dimensional polymer systems,False
62.726666666666674,useful literature,Laser-stimulated Pockels effect in CdBr2/Cu polymer nanocomposites,G. Lakshminarayana; A.M. El-Naggar; G.L. Myronchuk; E. Gondek; A.H. Reshak; P. Czaja; I.V. Kityk,2020,10.1016/j.physe.2019.113904,https://doi.org/10.1016/j.physe.2019.113904,crossref,Elsevier BV,Physica E: Low-dimensional Systems and Nanostructures,journal-article,True,2-dimensional polymer systems,False
62.726666666666674,useful literature,"Quantum coherence, quantum Fisher information and teleportation in the Ising-Heisenberg spin chain model of a heterotrimetallic Fe − Mn − Cu coordination polymer with magnetic impurity",Hamid Arian Zad; Moises Rojas,2021,10.1016/j.physe.2020.114455,https://doi.org/10.1016/j.physe.2020.114455,crossref,Elsevier BV,Physica E: Low-dimensional Systems and Nanostructures,journal-article,True,2-dimensional polymer systems,False
62.726666666666674,useful literature,Optical effects of quantum systems coupled with one- and two-dimensional structured baths,Nikos Iliopoulos; Emmanuel Paspalakis,2022,10.1016/j.physe.2022.115385,https://doi.org/10.1016/j.physe.2022.115385,crossref,Elsevier BV,Physica E: Low-dimensional Systems and Nanostructures,journal-article,True,2-dimensional polymer systems,False
62.726666666666674,useful literature,Three-dimensional periodic architecture in Poly(ε-caprolactone) crystallized in bulk aggregates,Selvaraj Nagarajan; Eamor M. Woo,2020,10.1016/j.polymer.2020.123059,https://doi.org/10.1016/j.polymer.2020.123059,crossref,Elsevier BV,Polymer,journal-article,True,2-dimensional polymer systems,False
62.726666666666674,useful literature,Recent progress in polymer/two-dimensional nanosheets composites with novel performances,Jialong Li; Xiaoxu Liu; Yu Feng; Jinghua Yin,2022,10.1016/j.progpolymsci.2022.101505,https://doi.org/10.1016/j.progpolymsci.2022.101505,crossref,Elsevier BV,Progress in Polymer Science,journal-article,True,2-dimensional polymer systems,False
62.726666666666674,useful literature,Rheological characterization of compatibilized polymer blends,Aurélie Taguet,2020,10.1016/b978-0-12-816006-0.00016-5,https://doi.org/10.1016/b978-0-12-816006-0.00016-5,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Thermal studies of compatibilized polymer blends,Nataša Z. Tomić,2020,10.1016/b978-0-12-816006-0.00017-7,https://doi.org/10.1016/b978-0-12-816006-0.00017-7,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Compatibilization of polymer blends by Janus particles,Ruth Cardinaels,2020,10.1016/b978-0-12-816006-0.00008-6,https://doi.org/10.1016/b978-0-12-816006-0.00008-6,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Scattering studies of compatibilized polymer blends,P. Poornima Vijayan,2020,10.1016/b978-0-12-816006-0.00011-6,https://doi.org/10.1016/b978-0-12-816006-0.00011-6,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Viscoelastic characterization of compatibilized polymer blends,Wei You; Wei Yu,2020,10.1016/b978-0-12-816006-0.00015-3,https://doi.org/10.1016/b978-0-12-816006-0.00015-3,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Rheology of polymer blends,Marcin Włoch; Janusz Datta,2020,10.1016/b978-0-12-816957-5.00002-1,https://doi.org/10.1016/b978-0-12-816957-5.00002-1,crossref,Elsevier,Rheology of Polymer Blends and Nanocomposites,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Fundamentals of immiscible polymer blends,Suprakas Sinha Ray; Reza Salehiyan,2020,10.1016/b978-0-12-816707-6.00004-3,https://doi.org/10.1016/b978-0-12-816707-6.00004-3,crossref,Elsevier,Nanostructured Immiscible Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Compatibilization of polymer blends by shear pulverization,Vincent Ojijo; Sreejarani Kesavan Pillai,2020,10.1016/b978-0-12-816006-0.00009-8,https://doi.org/10.1016/b978-0-12-816006-0.00009-8,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Interfacial characterization of immiscible polymer blends using rheology,Sarathchandran C,2020,10.1016/b978-0-12-816957-5.00003-3,https://doi.org/10.1016/b978-0-12-816957-5.00003-3,crossref,Elsevier,Rheology of Polymer Blends and Nanocomposites,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Introduction to polymer blends,Mohammadreza Nofar,2021,10.1016/b978-0-12-824150-9.00002-9,https://doi.org/10.1016/b978-0-12-824150-9.00002-9,crossref,Elsevier,Multiphase Polylactide Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Spectroscopic analysis of compatibilized polymer blends,Ajay Vasudeo Rane; Sabana Ara Begum; Krishnan Kanny,2020,10.1016/b978-0-12-816006-0.00013-x,https://doi.org/10.1016/b978-0-12-816006-0.00013-x,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Crystallization and melting behavior of compatibilized polymer blends,Nurul Fatahah Asyqin Zainal; Chin Han Chan,2020,10.1016/b978-0-12-816006-0.00014-1,https://doi.org/10.1016/b978-0-12-816006-0.00014-1,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Compatibilization of polymer blends by the addition of random copolymers,Xu-Ming Xie; Xianwei Sui,2020,10.1016/b978-0-12-816006-0.00005-0,https://doi.org/10.1016/b978-0-12-816006-0.00005-0,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Compatibilization of polymer blends by micro and nanofillers,Ajitha A.R.; Lovely P. Mathew; Sabu Thomas,2020,10.1016/b978-0-12-816006-0.00006-2,https://doi.org/10.1016/b978-0-12-816006-0.00006-2,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Application of compatibilized polymer blends in packaging,Yijun Li; Kailin Zhang; Min Nie; Qi Wang,2020,10.1016/b978-0-12-816006-0.00019-0,https://doi.org/10.1016/b978-0-12-816006-0.00019-0,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Applications of compatibilized polymer blends in automobile industry,Sabana Ara Begum; Ajay Vasudeo Rane; Krishnan Kanny,2020,10.1016/b978-0-12-816006-0.00020-7,https://doi.org/10.1016/b978-0-12-816006-0.00020-7,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Reactive compatibilization of polymer blends by coupling agents and interchange catalysts,Lei Hu; Pascal Y. Vuillaume,2020,10.1016/b978-0-12-816006-0.00007-4,https://doi.org/10.1016/b978-0-12-816006-0.00007-4,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Compatibilization of polymer blends by the addition of graft copolymers,Nataša Z. Tomić; Aleksandar D. Marinković,2020,10.1016/b978-0-12-816006-0.00004-9,https://doi.org/10.1016/b978-0-12-816006-0.00004-9,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Micro and nanoscale morphology characterization of compatibilized polymer blends by microscopy,Marija M. Vuksanović; Radmila Jančić Heinemann,2020,10.1016/b978-0-12-816006-0.00010-4,https://doi.org/10.1016/b978-0-12-816006-0.00010-4,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Application of compatibilized polymer blends in biomedical fields,Payam Zarrintaj; Mohammad Reza Saeb; Seyed Hassan Jafari; Masoud Mozafari,2020,10.1016/b978-0-12-816006-0.00018-9,https://doi.org/10.1016/b978-0-12-816006-0.00018-9,crossref,Elsevier,Compatibilization of Polymer Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Rheology of heavy crude oil and asphaltene-polymer composite blends,Siddhant Kumar Prasad; Abhijit Kakati; Jitendra S. Sangwai,2020,10.1016/b978-0-12-816957-5.00008-2,https://doi.org/10.1016/b978-0-12-816957-5.00008-2,crossref,Elsevier,Rheology of Polymer Blends and Nanocomposites,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Mechanical models for polymer blends,Suprakas Sinha Ray; Ritima Banerjee,2022,10.1016/b978-0-323-85868-7.00013-5,https://doi.org/10.1016/b978-0-323-85868-7.00013-5,crossref,Elsevier,Sustainable Polylactide-Based Blends,book-chapter,True,2-dimensional polymer blends,False
62.726666666666674,useful literature,Biodegradable polymer blends and composites from renewable resources,L. Rajeshkumar,2022,10.1016/b978-0-12-823791-5.00015-6,https://doi.org/10.1016/b978-0-12-823791-5.00015-6,crossref,Elsevier,"Biodegradable Polymers, Blends and Composites",book-chapter,True,2-dimensional polymer blends,False
